CountryCode;Country Name;Area
AT;Austria;83944,1352
BE;Belgium;30667,41954
BG;Bulgaria;110994,8609
CY;Cyprus;9249,160848
CZ;Czech Republic;78873,92175
DE;Germany;357746,4115
DK;Denmark;43162,02418
EE;Estonia;45347,44339
ES;Spain;505963,3638
FI;Finland;337546,8608
FR;France;638474,2534
GB;United Kingdom;244573,5394
GR;Greece;131691,5807
HR;Croatia;56538,6762
HU;Hungary;93012,69206
IE;Ireland;69946,01822
IT;Italy;300577,78
LT;Lithuania;64899,38823
LU;Luxembourg;2595,342994
LV;Latvia;64586,04939
MT;Malta;315,4334122
NL;The Netherlands;37368,40953
PL;Poland;311928,0348
PT;Portugal;91971,04551
RO;Romania;238368,43
SE;Sweden;449717,9418
SI;Slovenia;20276,68161
SK;Slovakia;49025,93052
AD;Andorra;468
AL;Albania;27398
BA;Bosnia and Herzegovina;51187
BY;Belarus;202900
CH;Switzerland;39997
IS;Iceland;100250
LI;Liechtenstein;160
MC;Monaco;2,02
MD;Moldova, Republic of;32891
MK;Macedonia;25433
SM;San Marino;61
UA;Ukraine;579300
VA;Vatican City;0,44
YU;Serbia, Montenegro, Kosovo;101698
NO;Norway;304282