"EventID"	"TrapID"	"StartDate"	"EndDate"	"NA..4"
"1"	78	1	"2003.vi.08"	"2003.vi.17"	NA
"2"	79	1	"2003.vi.17"	"2003.vii.02"	NA
"3"	80	1	"2003.vii..02"	"2003.vii.11"	NA
"4"	308	1	"2003.vii.11"	"2003.viii.04"	NA
"5"	309	1	"2003.viii.04"	"2003.viii.29"	NA
"6"	310	1	"2003.viii.29"	"2003.x.01"	NA
"7"	311	1	"2003.x.01"	"2003.xi.11"	NA
"8"	312	1	"2003.xi.11"	"2004.i.15"	NA
"9"	313	1	"2004.i.15"	"2004.iii.28"	NA
"10"	314	1	"2004.iii.28"	"2004.v.12"	NA
"11"	315	1	"2004.v.12"	"2004.v.28"	NA
"12"	316	1	" 2004.v.28"	"2004.vi.16"	NA
"13"	841	1	"2004.vi.16"	"2004.vi.27"	NA
"14"	842	1	"2004.vi.27"	"2004.vii.14"	NA
"15"	843	1	"2004.vii.14"	"2004.viii.10"	NA
"16"	844	1	"2004.viii.10"	"2004.viii.25"	NA
"17"	845	1	"2004.viii.25"	"2004.ix.10"	NA
"18"	846	1	"2004.ix.10"	"2004.x.01"	NA
"19"	847	1	"2004.x.01"	"2004.x.26"	NA
"20"	848	1	"2004.x.26"	"2004.xii.29"	NA
"21"	849	1	"2004.xii.29"	"2005.iii.03"	NA
"22"	1567	1	"2005.iii.03"	"2005.iv.09"	NA
"23"	1568	1	"2005.iv.09"	"2005.iv.28"	NA
"24"	1569	1	"2005.iv.28"	"2005.v.19"	NA
"25"	1570	1	"2005.v.19"	"2005.vi.13"	NA
"26"	1571	1	"2005.vi.13"	"2005.vii.06"	NA
"27"	1572	1	"2005.vii.06"	"2005.vii.21"	NA
"28"	1573	1	"2005.vii.21"	"2005.viii.04"	NA
"29"	1574	1	"2005.viii.04"	"2005.viii.19"	NA
"30"	1575	1	"2005.viii.19"	"2005.ix.21"	NA
"31"	1576	1	"2005.ix.21"	"2005.x.10"	NA
"32"	1577	1	"2005.x.10"	"2006.iv.03"	NA
"33"	81	2	"2003.vi.08"	"2003.vii.02"	NA
"34"	82	2	"2003.vii.02"	"2003.vii.21"	NA
"35"	83	2	"2003.vii.21"	"2003.viii.04"	NA
"36"	104	2	"2003.viii.04"	"2003.viii.26"	NA
"37"	105	2	"2003.viii.26"	"2003.ix.09"	NA
"38"	106	2	"2003.ix.09"	"2003.ix.25"	NA
"39"	107	2	"2003.ix.25"	"2003.x.16"	NA
"40"	108	2	"2003.x.16"	"2003.xi.04"	NA
"41"	784	2	"2003.xi.04"	"2004.i.28"	NA
"42"	785	2	"2004.i.28"	"2004.vi.18"	NA
"43"	786	2	"2004.vi.18"	"2004.vi.21"	NA
"44"	787	2	"2004.vi.21"	"2004.vii.20"	NA
"45"	788	2	"2004.vii.20"	"2004.viii.11"	NA
"46"	789	2	"2004.viii.11"	"2004.ix.07"	NA
"47"	790	2	"2004.ix.07"	"2004.ix.22"	NA
"48"	791	2	"2004.ix.22"	"2004.x.21"	NA
"49"	792	2	"2004.x.21"	"2004.xii.02"	NA
"50"	2094	2	"2004.xii.02"	"2005.i.28"	NA
"51"	2095	2	"2005.i.28"	"2005.iii.21"	NA
"52"	2096	2	"2005.iii.21"	"2005.v.24"	NA
"53"	2097	2	"2005.v.24"	"2005.vi.09"	NA
"54"	1831	2	"2005.vi.09"	"2005.vii.01"	NA
"55"	1832	2	"2005.vii.01"	"2005.vii.22"	NA
"56"	1833	2	"2005.vii.22"	"2005.viii.22"	NA
"57"	1834	2	"2005.viii.22"	"2005.ix.12"	NA
"58"	1835	2	"2005.ix.12"	"2005.x.04"	NA
"59"	1836	2	"2005.x.04"	"2005.xi.03"	NA
"60"	1837	2	"2005.xi.03"	"2005.xii.09"	NA
"61"	1838	2	"2005.xii.09"	"2006.v.08"	NA
"62"	84	3	"2003.vi.08 "	"2003.vii.02"	NA
"63"	85	3	"2003.vii.02"	"2003.vii.21"	NA
"64"	86	3	"2003.vii.21"	"2003.viii.04"	NA
"65"	109	3	"2003.viii.04"	"2003.viii.26"	NA
"66"	110	3	"2003.viii.26"	"2003.ix.09"	NA
"67"	111	3	"2003.ix.09"	"2003.ix.25"	NA
"68"	112	3	"2003.ix.25"	"2003.x.16"	NA
"69"	113	3	"2003.x.16"	"2003.xi.04"	NA
"70"	793	3	"2003.xi.04"	"2003.xii.12"	NA
"71"	794	3	"2003.xii.12"	"2004.i.28"	NA
"72"	795	3	"2004.i.28"	"2004.iv.28"	NA
"73"	796	3	"2004.iv.28"	"2004.vi.18"	NA
"74"	797	3	"2004.vi.18"	"2004.vi.21"	NA
"75"	798	3	"2004.vi.21"	"2004.vii.20"	NA
"76"	799	3	"2004.vii.20"	"2004.viii.11"	NA
"77"	800	3	"2004.viii.11"	"2004.ix.07"	NA
"78"	801	3	"2004.ix.07"	"2004.ix.22"	NA
"79"	802	3	"2004.ix.22"	"2004.x.21"	NA
"80"	803	3	"2004.x.21"	"2004.xii.02"	NA
"81"	2098	3	"2004.xii.02"	"2005.i.28"	NA
"82"	2099	3	"2005.i.28"	"2005.iii.21"	NA
"83"	2100	3	"2005.iii.21"	"2005.v.24"	NA
"84"	2101	3	"2005.v.24"	"2005.vi.09"	NA
"85"	1839	3	"2005.vi.09"	"2005.vii.01"	NA
"86"	1840	3	"2005.vii.01"	"2005.vii.22"	NA
"87"	1841	3	"2005.vii.22"	"2005.viii.22"	NA
"88"	1842	3	"2005.viii.22"	"2005.ix.12"	NA
"89"	1843	3	"2005.ix.12"	"2005.x.04"	NA
"90"	1844	3	"2005.x.04"	"2005.xi.03"	NA
"91"	1845	3	"2005.xi.03"	"2005.xii.09"	NA
"92"	1846	3	"2005.xii.09"	"2006.v.08"	NA
"93"	87	4	"2003.vi.08"	"2003.vii.02"	NA
"94"	88	4	"2003.vii.02"	"2003.vii.21"	NA
"95"	89	4	"2003.vii.21"	"2003.viii.04"	NA
"96"	114	4	"2003.viii.04"	"2003.viii.26"	NA
"97"	223	4	"2003.viii.26"	"2003.ix.09"	NA
"98"	224	4	"2003.ix.09"	"2003.ix.25"	NA
"99"	225	4	"2003.ix.25"	"2003.x.16"	NA
"100"	226	4	"2003.x.16"	"2003.xi.04"	NA
"101"	804	4	"2003.xi.04"	"2003.xii.12"	NA
"102"	805	4	"2003.xii.12"	"2004.i.28"	NA
"103"	806	4	"2004.i.28"	"2004.iv.28"	NA
"104"	807	4	"2004.iv.28"	"2004.vi.18"	NA
"105"	808	4	"2004.vi.18"	"2004.vi.21"	NA
"106"	809	4	"2004.vi.21"	"2004.vii.20"	NA
"107"	810	4	"2004.vii.20"	"2004.viii.11"	NA
"108"	811	4	"2004.viii.11"	"2004.ix.07"	NA
"109"	812	4	"2004.ix.07"	"2004.ix.22"	NA
"110"	813	4	"2004.ix.22"	"2004.x.21"	NA
"111"	814	4	"2004.x.21"	"2004.xii.02"	NA
"112"	2091	4	"2004.xii.02"	"2005.i.28"	NA
"113"	2092	4	"2005.i.28"	"2005.iii.21"	NA
"114"	2090	4	"2005.iii.21"	"2005.v.24"	NA
"115"	2093	4	"2005.v.24"	"2005.vi.09"	NA
"116"	1847	4	"2005.vi.09"	"2005.vii.01"	NA
"117"	1848	4	"2005.vii.01"	"2005.vii.22"	NA
"118"	1849	4	"2005.vii.22"	"2005.viii.22"	NA
"119"	1850	4	"2005.viii.22"	"2005.ix.12"	NA
"120"	1851	4	"2005.ix.12"	"2005.x.04"	NA
"121"	1852	4	"2005.x.04"	"2005.xi.03"	NA
"122"	1853	4	"2005.xi.03"	"2005.xii.09"	NA
"123"	1854	4	"2005.xii.09"	"2006.v.08"	NA
"124"	64	5	"2003.vi.16"	"2003.vii.02"	NA
"125"	65	5	"2003.vii.02"	"2003.vii.14"	NA
"126"	71	5	"2003.vii.14"	"2003.vii.28"	NA
"127"	76	5	"2003.vii.28"	"2003.viii.11"	NA
"128"	77	5	"2003.viii.11"	"2003.viii.30"	NA
"129"	90	5	"2003.viii.30"	"2003.ix.17"	NA
"130"	99	5	"2003.ix.17"	"2003.x.06"	NA
"131"	101	5	"2003.x.06"	"2003.x.20"	NA
"132"	102	5	"2003.x.20"	"2003.xi.03"	NA
"133"	181	5	"2003.xi.03"	"2003.xi.17"	NA
"134"	227	5	"2003.xi.17"	"2003.xii.01"	NA
"135"	265	5	"2003.xii.01"	"2003.xii.15"	NA
"136"	268	5	"2003.xii.15"	"2003.xii.29"	NA
"137"	269	5	"2003.xii.29 "	"2004.i.12"	NA
"138"	282	5	"2004.i.12"	"2004.i.26"	NA
"139"	283	5	"2004.i.26"	"2004.ii.09"	NA
"140"	300	5	"2004.ii.09"	"2004.ii.23"	NA
"141"	348	5	"2004.ii.23"	"2004.iii.10"	NA
"142"	349	5	"2004.iii.10"	"2004.i.12"	NA
"143"	350	5	"2004.iv.016"	"2004.iv.16"	NA
"144"	351	5	"2004.iv.16"	"2004.v.03"	NA
"145"	352	5	"2004.v.03"	"2004.v.18"	NA
"146"	353	5	"2004.v.18"	"2004.vi.07"	NA
"147"	354	5	"2004.vi.07"	"2004.vi.16"	NA
"148"	764	5	"2004.vi.16"	"2004.vi.30"	NA
"149"	765	5	"2004.vi.30"	"2004.vii.13"	NA
"150"	766	5	"2004.vii.13"	"2004.viii.10"	NA
"151"	767	5	"2004.viii.10"	"2004.viii.16"	NA
"152"	768	5	"2004.viii.16"	"2004.ix.08"	NA
"153"	769	5	"2004.viii.16"	"2004.x.20"	NA
"154"	368	6	"2003.vi.17"	"2003.vii.02"	NA
"155"	369	6	"2003.vii.02"	"2003.vii.29"	NA
"156"	370	6	"2003.vii.29"	"2003.viii.12"	NA
"157"	371	6	"2003.viii.12"	"2003.viii.26"	NA
"158"	372	6	"2003.viii.26"	"2003.ix.09"	NA
"159"	373	6	"2003.ix.09"	"2003.x.20"	NA
"160"	374	6	"2003.x.20"	"2003.xi.18"	NA
"161"	375	6	"2003.xi.18"	"2003.xii.09"	NA
"162"	376	6	"2003.xii.09"	"2004.vi.14"	NA
"163"	377	6	"2004.vi.14"	"2004.vi.27"	NA
"164"	850	6	"2004.vi.27"	"2004.vii.01"	NA
"165"	851	6	"2004.vii.01"	"2004.vii.26"	NA
"166"	852	6	"2004.vii.26"	"2004.viii.18"	NA
"167"	853	6	"2004.viii.18"	"2004.ix.04"	NA
"168"	854	6	"2004.ix.04"	"2004.ix.20"	NA
"169"	855	6	"2004.ix.20"	"2004.x.04"	NA
"170"	856	6	"2004.x.04"	"2004.xi.01"	NA
"171"	857	6	"2004.xi.01"	"2004.xii.06"	NA
"172"	1578	6	"2004.xii.06"	"2005.vi.03"	NA
"173"	1579	6	"2005.vi.03"	"2005.vi.30"	NA
"174"	1580	6	"2005.vi.30"	"2005.vii.17"	NA
"175"	1581	6	"2005.vii.17"	"2005.viii.22"	NA
"176"	1582	6	"2005.viii.22"	"2005.ix.11"	NA
"177"	1583	6	"2005.ix.11"	"2005.x.02"	NA
"178"	1584	6	"2005.x.02"	"2006.i.12"	NA
"179"	1585	6	"2006.i.12"	"2006.v.07"	NA
"180"	378	7	"2003.vi.17"	"2003.vii.03"	NA
"181"	379	7	"2003.vii.03"	"2003.vii.29"	NA
"182"	380	7	"2003.vii.29"	"2003.viii.12"	NA
"183"	381	7	"2003.viii.12"	"2003.viii.26"	NA
"184"	382	7	"2003.viii.26"	"2003.ix.09"	NA
"185"	383	7	"2003.ix.09"	"2003.x.20"	NA
"186"	384	7	"2003.x.20"	"2003.xi.18"	NA
"187"	385	7	"2003.xi.18"	"2003.xii.09"	NA
"188"	386	7	"2003.xii.09"	"2004.iv.20"	NA
"189"	387	7	"2004.iv.20"	"2004.vi.14"	NA
"190"	388	7	"2004.vi.14"	"2004.vi.27"	NA
"191"	858	7	"2004.vi.27"	"2004.vii.01"	NA
"192"	859	7	"2004.vii.01"	"2004.vii.26"	NA
"193"	860	7	"2004.vii.26"	"2004.ix.04"	NA
"194"	861	7	"2004.ix.04"	"2004.ix.20"	NA
"195"	862	7	"2004.ix.20"	"2004.x.04"	NA
"196"	863	7	"2004.x.04"	"2004.xi.01"	NA
"197"	864	7	"2004.xi.01"	"2004.xii.06"	NA
"198"	1586	7	"2004.xii.06"	"2005.iv.11"	NA
"199"	1587	7	"2005.iv.11"	"2005.iv.28"	NA
"200"	1588	7	"2005.iv.28"	"2005.v.16"	NA
"201"	1589	7	"2005.v.16"	"2005.v.24"	NA
"202"	1590	7	"2005.v.24"	"2005.vi.14"	NA
"203"	1591	7	"2005.vi.14"	"2005.vii.04"	NA
"204"	1592	7	"2005.vii.04"	"2005.vii.17"	NA
"205"	1593	7	"2005.vii.17"	"2005.viii.16"	NA
"206"	1594	7	"2005.viii.16"	"2005.ix.11"	NA
"207"	1595	7	"2005.ix.11"	"2005.ix.26"	NA
"208"	1596	7	"2005.ix.26"	"2005.xii.05"	NA
"209"	1597	7	"2005.xii.05"	"2006.i.16"	NA
"210"	1598	7	"2006.i.16"	"2006.iv.18"	NA
"211"	389	8	"2003.vi.18"	"2003.vii.04"	NA
"212"	390	8	"2003.vii.04"	"2003.vii.15"	NA
"213"	391	8	"2003.vii.15"	"2003.viii.04"	NA
"214"	392	8	"2003.viii.04"	"2003.viii.19"	NA
"215"	393	8	"2003.viii.19"	"2003.ix.07"	NA
"216"	394	8	"2003.ix.07"	"2004.vi.01"	NA
"217"	395	8	"2004.vi.01"	"2004.vi.15"	NA
"218"	1557	8	"2004.vi.15"	"2004.vi.28"	NA
"219"	1558	8	"2004.vi.28"	"2004.vii.13"	NA
"220"	1559	8	"2004.vii.13"	"2004.vii.29"	NA
"221"	1560	8	"2004.vii.29"	"2004.viii.08"	NA
"222"	1561	8	"2004.viii.08"	"2004.viii.27"	NA
"223"	1562	8	"2004.viii.27"	"2004.ix.10"	NA
"224"	1563	8	"2004.ix.10"	"2004.xii.17"	NA
"225"	1599	8	"2004.xii.17"	"2005.iv.30"	NA
"226"	1600	8	"2005.iv.30"	"2005.v.20"	NA
"227"	1601	8	"2005.v.20"	"2005.vi.20"	NA
"228"	1602	8	"2005.vi.20"	"2005.vii.18"	NA
"229"	1603	8	"2005.vii.18"	"2005.ix.05"	NA
"230"	1604	8	"2005.ix.05"	"2005.xi.15"	NA
"231"	1605	8	"2005.xi.15"	"2006.iv.05"	NA
"232"	355	9	"2003.vi.18"	"2003.vii.06"	NA
"233"	356	9	"2003.vii.06"	"2003.vii.19"	NA
"234"	357	9	"2003.vii.19"	"2003.viii.02"	NA
"235"	2064	9	"2003.viii.02"	"2003.viii.13"	NA
"236"	358	9	"2003.viii.13"	"2003.viii.31"	NA
"237"	359	9	"2003.viii.31"	"2003.ix.01"	NA
"238"	360	9	"2003.ix.01"	"2003.ix.19"	NA
"239"	361	9	"2003.ix.19"	"2003.ix.27"	NA
"240"	362	9	"2003.ix.27"	"2003.x.12"	NA
"241"	363	9	"2003.x.12"	"2003.xii.26"	NA
"242"	364	9	"2003.xii.26"	"2004.iv.06"	NA
"243"	365	9	"2004.iv.06"	"2004.iv.27"	NA
"244"	366	9	"2004.iv.27"	"2004.v.22"	NA
"245"	367	9	"2004.v.22"	"2004.v.31"	NA
"246"	865	9	"2004.v.31"	"2004.vi.19"	NA
"247"	866	9	"2004.vi.19"	"2004.vii.11"	NA
"248"	867	9	"2004.vii.11"	"2004.viii.07"	NA
"249"	868	9	"2004.viii.07"	"2004.viii.17"	NA
"250"	869	9	"2004.viii.17"	"2004.ix.01"	NA
"251"	870	9	"2004.ix.01"	"2004.ix.20"	NA
"252"	871	9	"2004.ix.20"	"2004.ix.30"	NA
"253"	872	9	"2004.ix.30"	"2004.x.25"	NA
"254"	873	9	"2004.x.25"	"2004.xii.19"	NA
"255"	874	9	"2004.xii.19"	"2005.iii.25"	NA
"256"	875	9	"2005.iii.25"	"2005.v.01"	NA
"257"	1606	9	"2005.v.01"	"2005.v.15"	NA
"258"	1607	9	"2005.v.15"	"2005.v.28"	NA
"259"	1608	9	"2005.v.28"	"2005.vi.11"	NA
"260"	1609	9	"2005.vi.11"	"2005.vi.24"	NA
"261"	1610	9	"2005.vi.24"	"2005.vii.16"	NA
"262"	1611	9	"2005.vii.16"	"2005.viii.06"	NA
"263"	1612	9	"2005.viii.06"	"2005.viii.22"	NA
"264"	1613	9	"2005.viii.22"	"2005.ix.05"	NA
"265"	1614	9	"2005.ix.05"	"2005.x.04"	NA
"266"	1615	9	"2005.x.04"	"2005.x.21"	NA
"267"	1616	9	"2005.x.21"	"2005.xii.08"	NA
"268"	396	10	"2003.vi.23"	"2003.vii.08"	NA
"269"	397	10	"2003.vii.08"	"2003.vii.21"	NA
"270"	398	10	"2003.vii.21"	"2003.viii.04"	NA
"271"	399	10	"2003.viii.04"	"2003.viii.26"	NA
"272"	400	10	"2003.viii.26"	"2003.ix.16"	NA
"273"	401	10	"2003.ix.16"	"2003.x.14"	NA
"274"	402	10	"2003.x.14"	"2003.xi.11"	NA
"275"	403	10	"2003.xi.11"	"2004.i.14"	NA
"276"	404	10	"2004.i.14"	"2004.ii.18"	NA
"277"	405	10	"2004.ii.18"	"2004.iii.27"	NA
"278"	406	10	"2004.iii.27"	"2004.iv.15"	NA
"279"	407	10	"2004.iv.15"	"2004.v.13"	NA
"280"	408	10	"2004.v.13"	"2004.vi.18"	NA
"281"	876	10	"2004.vi.18"	"2004.vii.01"	NA
"282"	877	10	"2004.vii.01"	"2004.vii.28"	NA
"283"	878	10	"2004.vii.28"	"2004.ix.16"	NA
"284"	879	10	"2004.ix.16"	"2004.xii.16"	NA
"285"	880	10	"2004.xii.16"	"2005.iii.03"	NA
"286"	1617	10	"2005.iii.03"	"2005.iii.30"	NA
"287"	1618	10	"2005.iii.30"	"2005.iv.15"	NA
"288"	1619	10	"2005.iv.15"	"2005.v.03"	NA
"289"	1620	10	"2005.v.03"	"2005.v.18"	NA
"290"	1621	10	"2005.v.18"	"2005.v.31"	NA
"291"	1622	10	"2005.v.31"	"2005.vii.01"	NA
"292"	1623	10	"2005.vii.01"	"2005.vii.15"	NA
"293"	1624	10	"2005.vii.15"	"2005.viii.01"	NA
"294"	1625	10	"2005.viii.01"	"2005.viii.15"	NA
"295"	1626	10	"2005.viii.15"	"2005.ix.01"	NA
"296"	1627	10	"2005.ix.01"	"2005.ix.16"	NA
"297"	1628	10	"2005.ix.16"	"2005.x.03"	NA
"298"	1629	10	"2005.x.03"	"2005.x.24"	NA
"299"	1630	10	"2005.x.24"	"2005.xii.01"	NA
"300"	1631	10	"2005.xii.01"	"2006.v.11"	NA
"301"	409	11	"2003.vi.23"	"2003.vii.07"	NA
"302"	410	11	"2003.vii.07"	"2003.vii.23"	NA
"303"	411	11	"2003.vii.23"	"2003.viii.04"	NA
"304"	412	11	"2003.viii.04"	"2003.viii.18"	NA
"305"	413	11	"2003.viii.18"	"2003.ix.01"	NA
"306"	414	11	"2003.ix.01"	"2003.ix.15"	NA
"307"	415	11	"2003.ix.15"	"2003.x.01"	NA
"308"	416	11	"2003.x.01"	"2003.x.25"	NA
"309"	417	11	"2003.x.25"	"2004.vi.08"	NA
"310"	418	11	"2004.vi.08"	"2004.vi.16"	NA
"311"	881	11	"2004.vi.16"	"2004.vii.09"	NA
"312"	882	11	"2004.vii.09"	"2004.vii.21"	NA
"313"	883	11	"2004.vii.21"	"2004.vii.29"	NA
"314"	884	11	"2004.vii.29"	"2004.viii.14"	NA
"315"	885	11	"2004.viii.14"	"2004.viii.27"	NA
"316"	886	11	"2004.viii.27"	"2004.ix.14"	NA
"317"	887	11	"2004.ix.14"	"2004.x.09"	NA
"318"	1632	11	"2004.x.09"	"2005.v.22"	NA
"319"	1633	11	"2005.v.22"	"2005.vi.06"	NA
"320"	1634	11	"2005.vi.06"	"2005.vi.23"	NA
"321"	1635	11	"2005.vi.23"	"2005.viii.14"	NA
"322"	1636	11	"2005.viii.14"	"2005.ix.06"	NA
"323"	1637	11	"2005.ix.06"	"2005.ix.25"	NA
"324"	1638	11	"2005.ix.25"	"2005.x.17"	NA
"325"	69	12	"2003.vi.24"	"2003.vii.05"	NA
"326"	70	12	"2003.vii.05"	"2003.vii.20"	NA
"327"	175	12	"2003.vii.20"	"2003.viii.02"	NA
"328"	176	12	"2003.viii.02"	"2003.viii.09"	NA
"329"	177	12	"2003.viii.09"	"2003.viii.25"	NA
"330"	178	12	"2003.viii.25"	"2003.ix.19"	NA
"331"	179	12	"2003.ix.19"	"2003.x.09"	NA
"332"	180	12	"2003.x.09"	"2003.x.19"	NA
"333"	419	12	"2003.x.19"	"2003.xi.29"	NA
"334"	420	12	"2003.xi.29"	"2004.i.11"	NA
"335"	421	12	"2004.i.11"	"2004.iii.27"	NA
"336"	422	12	"2004.iii.27"	"2004.iv.24"	NA
"337"	888	12	"2004.iv.24"	"2004.v.16"	NA
"338"	889	12	"2004.v.16"	"2004.vi.13"	NA
"339"	890	12	"2004.vi.13"	"2004.vi.27"	NA
"340"	891	12	"2004.vi.27"	"2004.vii.17"	NA
"341"	892	12	"2004.vii.17"	"2004.viii.01"	NA
"342"	893	12	"2004.viii.01"	"2004.viii.09"	NA
"343"	894	12	"2004.viii.09"	"2004.viii.19"	NA
"344"	895	12	"2004.viii.19"	"2004.viii.28"	NA
"345"	896	12	"2004.viii.28"	"2004.ix.11"	NA
"346"	897	12	"2004.ix.11"	"2004.x.02"	NA
"347"	898	12	"2004.x.02"	"2004.x.31"	NA
"348"	899	12	"2004.x.31"	"2004.xii.04"	NA
"349"	900	12	"2004.xii.04"	"2005.i.05"	NA
"350"	901	13	"2003.vi.24"	"2003.vii.22"	NA
"351"	902	13	"2003.vii.22"	"2003.viii.05"	NA
"352"	903	13	"2003.viii.05"	"2003.ix.03"	NA
"353"	904	13	"2003.ix.03"	"2003.ix.17"	NA
"354"	905	13	"2003.ix.17"	"2003.x.03"	NA
"355"	906	13	"2003.x.03"	"2003.x.14"	NA
"356"	907	13	"2003.x.14"	"2003.xi.14"	NA
"357"	908	13	"2003.xi.14"	"2003.xii.09"	NA
"358"	1748	13	"2003.xii.09"	"2004.iii.25"	NA
"359"	1749	13	"2004.iii.25"	"2004.iv.25"	NA
"360"	1750	13	"2004.iv.25"	"2004.v.25"	NA
"361"	909	13	"2004.v.25"	"2004.vi.08"	NA
"362"	910	13	"2004.vi.08"	"2004.vi.23"	NA
"363"	911	13	"2004.vi.23"	"2004.vii.07"	NA
"364"	912	13	"2004.vii.07"	"2004.viii.08"	NA
"365"	913	13	"2004.viii.08"	"2004.viii.17"	NA
"366"	914	13	"2004.viii.17"	"2004.ix.08"	NA
"367"	915	13	"2004.ix.08"	"2004.x.27"	NA
"368"	916	13	"2004.x.27"	"2004.xii.15"	NA
"369"	917	13	"2004.xii.15"	"2005.iii.03"	NA
"370"	1639	13	"2005.iii.03"	"2005.iv.28"	NA
"371"	1640	13	"2005.iv.28"	"2005.v.28"	NA
"372"	1641	13	"2005.v.28"	"2005.vi.15"	NA
"373"	1642	13	"2005.vi.15"	"2005.vii.05"	NA
"374"	1643	13	"2005.vii.05"	"2005.vii.12"	NA
"375"	1644	13	"2005.vii.12"	"2005.vii.20"	NA
"376"	1645	13	"2005.vii.20"	"2005.vii.26"	NA
"377"	1646	13	"2005.vii.26"	"2005.viii.02"	NA
"378"	1647	13	"2005.viii.02"	"2005.viii.23"	NA
"379"	1648	13	"2005.viii.23"	"2005.ix.16"	NA
"380"	918	14	"2003.vi.24"	"2003.vii.22"	NA
"381"	919	14	"2003.vii.22"	"2003.viii.05"	NA
"382"	920	14	"2003.viii.05"	"2003.ix.03"	NA
"383"	921	14	"2003.ix.03"	"2003.ix.17"	NA
"384"	922	14	"2003.ix.17"	"2003.x.01"	NA
"385"	923	14	"2003.x.01"	"2003.x.14"	NA
"386"	924	14	"2003.x.14"	"2003.xi.14"	NA
"387"	925	14	"2003.xi.14"	"2003.xii.09"	NA
"388"	1751	14	"2003.xii.09"	"2004.iii.25"	NA
"389"	1752	14	"2004.iii.25"	"2004.iv.25"	NA
"390"	1753	14	"2004.iv.25"	"2004.v.25"	NA
"391"	1999	14	"2004.v.25"	"2004.vi.08"	NA
"392"	927	14	"2004.vi.08"	"2004.vi.23"	NA
"393"	928	14	"2004.vi.23"	"2004.vii.07"	NA
"394"	929	14	"2004.vii.07"	"2004.viii.08"	NA
"395"	930	14	"2004.viii.08"	"2004.viii.17"	NA
"396"	931	14	"2004.viii.17"	"2004.ix.08"	NA
"397"	932	14	"2004.ix.08"	"2004.x.27"	NA
