"group";"numSpec";"numSiteObs";"numTraps";"numSamples";"numSp2003";"numSpSmtp";"S1";"S2";"Q1";"Q2";"chao1";"chao1.se";"ace";"ace.se";"chao2";"chao2.se";"jack1";"jack1.se";"jack2";"boot";"boot.se";"preston";"cne";"chao1p";"chao2p";"jack1p";"jack2p"
"Acartophthalmidae";258;40;40;76;1;1;0;0;0;0;1;0;NA;NA;1;0;1;0;1;1;0;NA;1;1;1;1;1
"Adeliini";131;29;29;58;1;1;0;0;0;0;1;0;NA;NA;1;0;1;0;1;1;0;NA;1;1;1;1;1
"Adelognathinae";475;163;48;194;22;18;3;2;5;0;19;1.80803922743762;19.8181011535049;2.02196886483507;27.7916666666667;10.0735540281733;22.8958333333333;2.18948322796854;27.6875;19.9728815348674;1.14665399160193;24.1569683617476;64.2927160493827;19.5277777777778;30.1604938271605;24.6624871399177;29.8238811728395
"Aulacigastridae";58;9;9;11;1;1;0;0;0;0;1;0;NA;NA;1;0;1;0;1;1;0;NA;1;1;1;1;1
"Banchini";208;36;21;48;19;10;3;3;5;2;10.75;1.41347465858611;11.8461538461538;1.66090273152821;15.952380952381;7.21196725279093;14.7619047619048;2.53769763704271;17.5666666666667;12.079324636526;1.58301480853126;NA;17.2;11.7175;16.6666666666667;18.452380952381;21.9583333333333
"Clusiidae";42;18;10;12;11;5;1;0;1;0;5;0.447213595499958;5.46611031956035;0.993394029916808;5;0.402492235949962;5.9;0.9;6.7;5.4112260124;0.600826666456803;6.47457566925383;5;5.2;5.2;6.136;6.968
"Diplazontinae";2449;506;66;299;49;39;5;2;5;5;42.3333333333333;4.11863537875167;42.9074132326727;3.06816044922863;41.4621212121212;2.91961676856714;43.9242424242424;2.20218815965888;43.9988344988345;41.5369411167015;1.43696358973027;49.1693193725126;40.7345297612784;43.029147490686;41.3350865658558;44.6462056462056;44.7220237575267
"Dolichopodidae";41798;1365;69;386;314;173;17;14;31;26;182.066666666667;5.89441065033654;184.765512031132;6.50703671342378;191.212931995541;8.58908892866946;203.550724637681;8.79842646946511;208.777067348679;188.559490211494;5.63692587671387;191.167518494978;194.954121396824;183.824736320403;196.330129454524;210.086601091181;215.480758140956
"Drosophilidae";7384;430;67;356;59;35;6;3;10;2;38.75;4.20202104311416;39.6176;2.54995619272566;59.6268656716418;23.8843280667433;44.8507462686567;3.11507948613602;52.6413387607417;39.0310562104442;1.69538799387339;63.6780591261365;98.4672229001471;39.8887755102041;54.0816326530612;48.512031678343;56.9385909044758
"Dryinidae+Embolemidae";463;134;44;88;33;19;2;0;2;0;20;2.30217288664427;19.7708695881453;2.14374488575608;19.9772727272727;2.25473323249503;20.9545454545455;1.38207234504643;22.8636363636364;19.9388742080379;0.839840729872858;25.8630397579535;21.6779012345679;20.2216066481994;20.2216066481994;21.1867287836817;23.1169730546462
"Eupelmidae";518;44;26;62;16;10;2;2;2;2;10.3333333333333;0.915919647826376;11.9466666666667;1.74231806649437;10.9615384615385;1.80912381944488;11.9230769230769;1.35982073305105;11.9969230769231;11.0987130609177;1.01234334511773;27.6657365265274;10.4057971014493;10.7466666666667;10.7466666666667;12.4;12.4768
"Figitidae excl Charipinae";630;221;39;137;127;59;18;5;22;8;84.5;16.387380138712;75.7326556907659;4.3823282885098;88.474358974359;17.2052004517188;80.4358974358974;7.73696439273596;93.9176788124157;68.4918865020303;4.47717177817986;81.695013861571;165.697391530221;92.3649813272048;96.4387628076223;91.6197452839222;106.976040359445
"Heleomyzidae+Odiniidae";4649;455;62;245;54;41;2;3;5;4;41.25;0.735255959348563;41.8562477622628;2.93815452947782;44.0745967741936;3.60560665689825;45.9193548387097;2.20000236495947;46.9505552617663;43.4765746666546;1.38436639667128;45.3509336930032;44.4483087789318;41.3481558596074;43.639500297442;46.6022720730748;47.6488086118818
"Ichneumoninae excl Phaeogenini";5297;1116;71;412;325;185;36;15;47;23;223.375;17.5323498224179;212.852683930715;7.24323342847257;231.345376607471;18.3188085072648;230.338028169014;9.84647071385206;253.981287726358;205.435483380929;5.95260827834766;205.691300972245;257.974166016656;231.925744328922;243.985931838768;245.366876946937;270.552786562237
"Lauxaniidae";169;34;19;26;44;14;3;4;6;3;14.6;1.18132036646254;16.79125;1.96240741221663;19.6842105263158;6.16396461977152;19.6842105263158;2.32056923000512;22.5175438596491;16.6011717251569;1.27677723999452;22.3818041508343;18.2;15.2704081632653;21.0102040816327;23.2996777658432;26.6534192624418
"Lonchaeidae";319;86;39;94;27;16;1;2;2;2;16;0.161374306091976;16.4812825454098;1.99580381450642;16.974358974359;1.82969874614475;17.9487179487179;1.3779516761584;17.9986504723347;17.1090849297333;0.9776531705916;17.7333451563712;17.3516682926829;16.0625;16.5885416666667;18.2291666666667;18.2798793859649
"Meteorini";1226;316;68;281;37;29;3;2;4;3;30;1.81174153990226;31.4688;2.42602287457955;31.6274509803922;3.43978427417725;32.9411764705882;1.97058823529412;33.955223880597;30.972208756839;1.19919716849437;36.4891870534513;34.3759120560522;30.321046373365;31.0802615933413;33.5678813737148;34.6012210055549
"Milichiidae excl Phyllomyza";432;51;37;85;9;5;0;0;0;1;5;0;5;1.09544511501033;5;0;5;0;4.08033033033033;5.1517522718455;0.3916101277171;4661529105.71523;5;5;5;5;4.08033033033033
"Mycetophilidae+Keroplatidae";501;128;12;33;456;107;47;17;88;17;167.055555555556;23.7239359341437;169.617407053311;7.32496186237731;315.78431372549;68.9518554424253;187.666666666667;40.8302719940868;248.121212121212;139.945631100631;20.7761659517152;146.894519441556;518.052379889693;199.287691307344;535.886307392203;314.602701837133;415.948154794517
"Mymar";11;5;5;5;2;2;0;0;1;0;2;0;2;0;2;0.282842712474619;2.8;0.8;3.4;2.328;0.469484824035879;NA;2;2;2.5;3.5;4.25
"Netelia";27;10;8;10;13;6;3;0;5;0;9;4.41588043316392;9.97959183673469;1.40719459741634;14.75;8.84076336794318;10.375;1.95655948031232;14.125;7.71843564510345;0.877113844694313;NA;26;11.25;27.1111111111111;17.5798611111111;23.9340277777778
"Phoridae";12932;773;28;97;182;120;7;5;21;14;123.5;3.66137208216627;122.894639322819;5.23090067004034;135.1875;8.69473940400582;140.25;6.67818944667747;147.231481481481;130.281896315555;4.89881429292244;124.601451981405;137.552401163262;123.920243055556;138.10375;144.54515625;151.740445601852
"Phrudus group";350;38;38;104;2;1;0;0;0;0;1;0;NA;NA;1;0;1;0;1;1;0;NA;1;1;1;1;1
"Pimplinae";1444;359;61;307;127;55;17;3;17;5;89;23.2109282669013;78.5413737155219;4.59129466585961;83.4262295081967;19.497842685537;71.7213114754098;4.72745501929098;83.4084699453552;62.080698111755;2.49384276359184;116.103149919789;109.2535399568;97.5028099173554;85.0867217630854;78.5733640428126;91.3770807930271
"Piophilidae";1062;55;30;53;17;10;0;1;1;4;10;0;10;1.54919333848297;10.1208333333333;0.427652060350727;10.9666666666667;0.966666666666667;8.29540229885058;10.9512949964602;1.33221286147573;19.1403822546626;10;10;10.1;11.0763333333333;8.37835632183908
"Platygastridae (s str)";2124;493;63;233;124;72;9;6;12;8;77.1428571428571;4.65051790051643;76.857890625;4.29509924126924;80.8571428571429;6.69424567595693;83.8095238095238;3.68650580074092;87.8074756784434;78.2157623299133;2.85712034771659;77.612285423522;92.6762114586033;78.3482142857143;81.537037037037;86.1375661375661;90.2465722250668
"Rhyssinae";4;3;3;3;6;1;0;0;0;0;1;0;1;0;1;0;1;0;1;1;0;NA;1;1;1;1;1
"Sciomyzidae";1015;244;48;143;77;55;5;4;17;5;57;2.58375491749589;57.2199435763889;3.64675797097055;83.2979166666667;19.4131217481101;71.6458333333333;9.31660051407641;83.2477836879433;62.264913454326;5.7375331212493;56.2234651693926;115.899300675517;57.4710743801653;85.0867217630854;78.4906749311295;91.2010430220972
"Sepsidae";3839;118;36;85;34;15;0;2;1;4;15;0;15;1.71269767715535;15.1215277777778;0.429297136092356;15.9722222222222;0.972222222222222;13.2468253968254;15.9333640635412;1.0524960734831;22.6687778476398;15;15;15.0666666666667;16.0432098765432;13.3057001763668
"Small mycetophiloid families";59;19;11;19;6;4;1;0;1;0;4;0.433012701892219;NA;NA;4;0.393647910811108;4.90909090909091;0.909090909090909;5.72727272727273;4.35100731827946;0.478359761537851;7.45987839761721;4.3;4.25;4.25;5.21590909090909;6.08522727272727
"Symphyta";2399;450;62;298;584;149;40;16;58;33;194.882352941176;19.4501200973767;181.231445660394;6.53486907157301;199.147605083089;17.3143406156476;206.064516129032;15.9034057439274;230.781597038604;175.88334217462;11.6663539286709;198.088167407398;240.824287042981;208.927295272868;227.561602948463;237.288381371952;265.750710701856
"Tephritidae+Ulidiidae";488;136;36;102;92;46;9;3;12;12;55;8.03872021700424;51.1436186414864;3.37912005239064;51.8333333333333;4.47342978866038;57.6666666666667;4.79679677068554;57.9904761904762;52.3155618149775;3.29791792051396;47.9988889037053;58.7530912593155;57.1053875236295;54.5528573505889;61.591052299937;61.936898010622
"Thysanoptera";1527;85;21;66;119;33;12;3;17;5;49.5;12.8877915274319;48.2686318972033;3.64230623894394;60.5238095238095;18.9019909208256;49.1904761904762;7.31537690273201;60.2738095238095;39.8622741298177;4.00672042698004;NA;94.1348872920825;56.0454545454545;70.4395469850015;62.2446980628799;76.269338405702
